"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"AVRO","10","IBk","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.25290697674418605"
"AVRO","10","NaiveBayes","8.0","171.0","1.0","0.0","0.0446927374301676","1.0","5.195479932458778E-4","0.5203488372093024"
"AVRO","10","RandomForest","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.502906976744186"
"AVRO","11","IBk","181.0","1.0","1.0","0.0","0.9945054945054945","1.0","0.6642201834862382","0.9046961325966851"
"AVRO","11","NaiveBayes","52.0","0.0","2.0","129.0","1.0","0.287292817679558","0.008733991182028136","0.7403314917127072"
"AVRO","11","RandomForest","181.0","1.0","1.0","0.0","0.9945054945054945","1.0","0.6642201834862382","0.7265193370165746"
"AVRO","12","IBk","185.0","0.0","2.0","2.0","1.0","0.9893048128342246","0.6618962432915922","0.9973262032085561"
"AVRO","12","NaiveBayes","44.0","0.0","2.0","143.0","1.0","0.23529411764705882","0.006469874646178709","0.8074866310160428"
"AVRO","12","RandomForest","185.0","0.0","2.0","2.0","1.0","0.9893048128342246","0.6618962432915922","0.9986631016042781"
"AVRO","13","IBk","181.0","0.0","2.0","0.0","1.0","1.0","1.0","1.0"
"AVRO","13","NaiveBayes","35.0","0.0","2.0","146.0","1.0","0.19337016574585636","0.00521259959788516","0.8453038674033149"
"AVRO","13","RandomForest","181.0","0.0","2.0","0.0","1.0","1.0","1.0","1.0"
"AVRO","14","IBk","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","14","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","IBk","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","16","IBk","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","16","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","17","IBk","202.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","17","NaiveBayes","202.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
