@relation 'AVRO-testingRelease_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute LOC numeric
@attribute NR numeric
@attribute NAuth numeric
@attribute CC numeric
@attribute NComm numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute 'Buggy{No,Yes}' {false}

@data
43,0,0,1,18,0,0,0,0,0,0,false
28,0,0,1,18,0,0,0,0,0,0,false
55,0,0,3,18,0,0,0,0,0,0,false
53,1,1,4,18,1,1,1,5,5,5,false
374,5,2,23,25,41,14,8.2,142,68,28.4,false
74,0,0,1,23,0,0,0,0,0,0,false
98,1,1,6,18,5,5,5,16,16,16,false
29,0,0,1,18,0,0,0,0,0,0,false
74,0,0,6,18,0,0,0,0,0,0,false
50,3,2,1,22,15,7,5,15,13,5,false
196,2,2,19,18,5,3,2.5,1,1,0.5,false
105,1,1,2,18,3,3,3,1,1,1,false
187,2,2,33,18,33,30,16.5,5,3,2.5,false
168,2,1,12,20,56,51,28,20,18,10,false
157,0,0,5,24,0,0,0,0,0,0,false
491,5,3,131,18,30,14,6,10,4,2,false
191,5,2,20,21,95,39,19,48,16,9.6,false
85,0,0,6,18,0,0,0,0,0,0,false
86,0,0,9,18,0,0,0,0,0,0,false
64,4,2,2,18,25,13,6.25,7,5,1.75,false
51,1,1,1,21,1,1,1,0,0,0,false
55,0,0,1,18,0,0,0,0,0,0,false
57,0,0,1,18,0,0,0,0,0,0,false
111,1,1,11,19,1,1,1,1,1,1,false
95,5,2,5,22,10,4,2,3,1,0.6,false
78,0,0,3,18,0,0,0,0,0,0,false
54,0,0,2,18,0,0,0,0,0,0,false
211,1,1,60,18,43,43,43,43,43,43,false
79,1,1,6,19,1,1,1,1,1,1,false
85,1,1,5,18,2,2,2,1,1,1,false
28,0,0,1,18,0,0,0,0,0,0,false
1087,6,3,134,49,62,53,10.333333,174,146,29,false
24,0,0,1,18,0,0,0,0,0,0,false
40,0,0,1,18,0,0,0,0,0,0,false
107,1,1,11,18,5,5,5,1,1,1,false
79,0,0,9,18,0,0,0,0,0,0,false
26,0,0,1,18,0,0,0,0,0,0,false
39,0,0,1,24,0,0,0,0,0,0,false
36,0,0,1,18,0,0,0,0,0,0,false
232,0,0,15,26,0,0,0,0,0,0,false
422,3,2,81,22,17,14,5.666667,1,1,0.333333,false
52,0,0,1,18,0,0,0,0,0,0,false
88,1,1,4,18,1,1,1,0,0,0,false
36,0,0,1,18,0,0,0,0,0,0,false
25,1,1,1,19,4,4,4,2,2,2,false
27,1,1,1,19,6,6,6,3,3,3,false
38,2,2,1,20,4,3,2,1,1,0.5,false
92,1,1,12,18,0,0,0,5,5,5,false
211,1,1,19,18,2,2,2,1,1,1,false
228,10,2,39,30,80,61,8,61,30,6.1,false
36,0,0,1,21,0,0,0,0,0,0,false
205,0,0,7,26,0,0,0,0,0,0,false
71,1,1,3,18,0,0,0,14,14,14,false
620,1,1,51,24,8,8,8,2,2,2,false
125,0,0,9,21,0,0,0,0,0,0,false
231,5,2,11,21,5,3,1,6,2,1.2,false
26,0,0,1,18,0,0,0,0,0,0,false
59,0,0,5,18,0,0,0,0,0,0,false
97,2,2,7,18,2,2,1,16,16,8,false
75,0,0,1,18,0,0,0,0,0,0,false
112,1,1,7,18,3,3,3,1,1,1,false
145,4,2,11,27,39,17,9.75,53,46,13.25,false
76,1,1,2,18,0,0,0,6,6,6,false
387,2,1,41,32,5,3,2.5,2,1,1,false
54,0,0,1,18,0,0,0,0,0,0,false
69,0,0,4,19,0,0,0,0,0,0,false
77,0,0,5,18,0,0,0,0,0,0,false
447,9,2,89,21,46,20,5.111111,126,110,14,false
121,0,0,3,24,0,0,0,0,0,0,false
37,0,0,1,20,0,0,0,0,0,0,false
123,1,1,7,20,13,13,13,25,25,25,false
43,1,1,4,18,1,1,1,0,0,0,false
99,4,2,18,21,13,4,3.25,6,2,1.5,false
176,1,1,13,21,10,10,10,36,36,36,false
136,4,2,20,20,11,4,2.75,6,2,1.5,false
983,3,2,84,29,172,147,57.333333,682,673,227.333333,false
549,9,2,20,21,49,17,5.444444,224,164,24.888889,false
47,0,0,1,18,0,0,0,0,0,0,false
76,1,1,8,20,2,2,2,1,1,1,false
98,1,1,7,19,1,1,1,1,1,1,false
36,0,0,1,18,0,0,0,0,0,0,false
107,0,0,4,25,0,0,0,0,0,0,false
252,1,1,5,35,1,1,1,2,2,2,false
230,1,1,19,18,3,3,3,1,1,1,false
244,5,2,19,18,11,6,2.2,6,6,1.2,false
203,0,0,20,25,0,0,0,0,0,0,false
202,4,2,3,21,4,1,1,0,0,0,false
270,0,0,1,35,0,0,0,0,0,0,false
34,0,0,1,22,0,0,0,0,0,0,false
27,0,0,1,18,0,0,0,0,0,0,false
146,1,1,21,21,2,2,2,0,0,0,false
85,1,1,4,19,1,1,1,1,1,1,false
25,0,0,1,18,0,0,0,0,0,0,false
74,0,0,25,19,0,0,0,0,0,0,false
286,1,1,1,31,1,1,1,7,7,7,false
78,1,1,4,21,1,1,1,0,0,0,false
267,5,2,35,21,58,22,11.6,99,50,19.8,false
354,4,3,53,18,198,189,49.5,131,126,32.75,false
90,0,0,6,19,0,0,0,0,0,0,false
412,2,1,81,18,17,14,8.5,3,2,1.5,false
35,0,0,1,20,0,0,0,0,0,0,false
425,5,2,66,18,7,2,1.4,2,1,0.4,false
28,0,0,1,18,0,0,0,0,0,0,false
54,0,0,3,22,0,0,0,0,0,0,false
