@relation 'BOOKKEEPER-testingRelease_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute LOC numeric
@attribute NR numeric
@attribute NAuth numeric
@attribute CC numeric
@attribute NComm numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute 'Buggy{No,Yes}' {false,true}

@data
115,0,0,3,20,0,0,0,0,0,0,false
329,0,0,44,20,0,0,0,0,0,0,false
35,0,0,1,17,0,0,0,0,0,0,false
390,1,1,72,24,1,1,1,2,2,2,false
84,0,0,1,17,0,0,0,0,0,0,false
70,0,0,1,20,0,0,0,0,0,0,false
92,0,0,5,24,0,0,0,0,0,0,false
89,0,0,6,23,0,0,0,0,0,0,false
63,0,0,1,20,0,0,0,0,0,0,false
51,0,0,1,20,0,0,0,0,0,0,false
147,0,0,1,24,0,0,0,0,0,0,false
179,0,0,17,26,0,0,0,0,0,0,false
282,1,1,20,17,3,3,3,2,2,2,false
295,0,0,33,20,0,0,0,0,0,0,false
106,0,0,2,17,0,0,0,0,0,0,false
47,0,0,3,20,0,0,0,0,0,0,false
45,0,0,1,17,0,0,0,0,0,0,false
90,0,0,3,17,0,0,0,0,0,0,false
691,3,2,73,22,116,112,38.666667,36,33,12,false
62,0,0,6,17,0,0,0,0,0,0,false
35,0,0,1,17,0,0,0,0,0,0,false
172,0,0,1,17,0,0,0,0,0,0,false
94,0,0,4,17,0,0,0,0,0,0,true
27,0,0,1,20,0,0,0,0,0,0,false
191,0,0,17,17,0,0,0,0,0,0,false
66,0,0,1,17,0,0,0,0,0,0,false
82,0,0,3,25,0,0,0,0,0,0,false
43,0,0,1,20,0,0,0,0,0,0,false
189,0,0,20,24,0,0,0,0,0,0,false
101,0,0,8,21,0,0,0,0,0,0,false
87,0,0,3,25,0,0,0,0,0,0,false
495,2,2,40,22,17,14,8.5,28,26,14,false
153,0,0,10,25,0,0,0,0,0,0,true
44,0,0,1,20,0,0,0,0,0,0,false
308,1,1,36,20,3,3,3,2,2,2,false
50,0,0,1,17,0,0,0,0,0,0,false
437,0,0,6,20,0,0,0,0,0,0,false
74,0,0,6,17,0,0,0,0,0,0,false
62,0,0,2,17,0,0,0,0,0,0,false
65,0,0,5,20,0,0,0,0,0,0,false
48,0,0,1,22,0,0,0,0,0,0,false
46,0,0,3,17,0,0,0,0,0,0,false
577,0,0,52,24,0,0,0,0,0,0,true
90,0,0,1,26,0,0,0,0,0,0,false
109,0,0,1,20,0,0,0,0,0,0,false
92,0,0,1,17,0,0,0,0,0,0,false
226,1,1,19,20,1,1,1,0,0,0,false
56,0,0,6,17,0,0,0,0,0,0,false
74,0,0,7,17,0,0,0,0,0,0,false
31,0,0,1,20,0,0,0,0,0,0,false
28,0,0,1,17,0,0,0,0,0,0,false
4088,0,0,363,2,0,0,0,0,0,0,false
47,0,0,1,21,0,0,0,0,0,0,false
221,1,1,13,20,0,0,0,2,2,2,false
377,0,0,33,17,0,0,0,0,0,0,false
1248,3,2,144,24,3,3,1,7,5,2.333333,false
125,0,0,4,22,0,0,0,0,0,0,false
183,0,0,10,17,0,0,0,0,0,0,false
58,0,0,4,17,0,0,0,0,0,0,false
792,2,1,48,23,3,3,1.5,14,12,7,false
42,0,0,1,20,0,0,0,0,0,0,false
45,0,0,1,20,0,0,0,0,0,0,false
648,0,0,14,32,0,0,0,0,0,0,true
84,2,2,3,20,9,5,4.5,7,5,3.5,false
143,0,0,8,26,0,0,0,0,0,0,false
106,0,0,4,26,0,0,0,0,0,0,false
62,0,0,4,23,0,0,0,0,0,0,false
148,1,1,12,17,2,2,2,6,6,6,false
111,0,0,9,17,0,0,0,0,0,0,false
129,0,0,8,17,0,0,0,0,0,0,false
24,0,0,1,20,0,0,0,0,0,0,false
422,0,0,27,23,0,0,0,0,0,0,false
131,0,0,3,20,0,0,0,0,0,0,false
189,1,1,6,23,2,2,2,0,0,0,false
38,0,0,1,23,0,0,0,0,0,0,false
69,0,0,4,20,0,0,0,0,0,0,false
804,1,1,64,17,2,2,2,6,6,6,false
109,0,0,6,24,0,0,0,0,0,0,false
85,0,0,3,24,0,0,0,0,0,0,false
160,0,0,1,21,0,0,0,0,0,0,false
156,1,1,15,17,1,1,1,2,2,2,false
90,0,0,6,17,0,0,0,0,0,0,false
88,1,1,1,26,0,0,0,8,8,8,false
359,1,1,51,23,0,0,0,2,2,2,false
155,1,1,9,17,3,3,3,0,0,0,false
273,1,1,46,19,2,2,2,2,2,2,false
86,0,0,1,25,0,0,0,0,0,0,false
466,2,1,33,32,2,1,1,0,0,0,false
134,0,0,6,20,0,0,0,0,0,0,false
27,0,0,1,20,0,0,0,0,0,0,false
111,0,0,5,17,0,0,0,0,0,0,false
39,0,0,1,20,0,0,0,0,0,0,false
159,0,0,1,20,0,0,0,0,0,0,false
64,0,0,1,29,0,0,0,0,0,0,false
37,0,0,1,20,0,0,0,0,0,0,false
162,0,0,19,23,0,0,0,0,0,0,false
76,0,0,1,20,0,0,0,0,0,0,false
43,0,0,1,17,0,0,0,0,0,0,false
666,1,1,50,32,7,7,7,2,2,2,false
74,0,0,9,17,0,0,0,0,0,0,false
48,0,0,1,21,0,0,0,0,0,0,false
262,1,1,27,17,2,2,2,2,2,2,false
979,1,1,55,24,4,4,4,1,1,1,false
45,0,0,1,20,0,0,0,0,0,0,false
582,0,0,52,23,0,0,0,0,0,0,true
358,0,0,33,20,0,0,0,0,0,0,false
136,0,0,10,21,0,0,0,0,0,0,false
89,0,0,1,21,0,0,0,0,0,0,false
191,0,0,9,23,0,0,0,0,0,0,false
96,0,0,1,20,0,0,0,0,0,0,false
106,0,0,12,34,0,0,0,0,0,0,true
236,0,0,2,20,0,0,0,0,0,0,false
565,1,1,113,32,1,1,1,0,0,0,false
346,2,2,5,26,17,17,8.5,170,158,85,false
77,0,0,3,23,0,0,0,0,0,0,false
47,0,0,1,17,0,0,0,0,0,0,false
123,0,0,1,20,0,0,0,0,0,0,false
69,0,0,11,20,0,0,0,0,0,0,false
34,0,0,1,21,0,0,0,0,0,0,false
252,1,1,29,17,4,4,4,2,2,2,false
25,0,0,1,20,0,0,0,0,0,0,false
73,0,0,9,20,0,0,0,0,0,0,false
93,0,0,4,20,0,0,0,0,0,0,false
624,1,1,84,28,2,2,2,3,3,3,false
108,0,0,9,22,0,0,0,0,0,0,false
323,0,0,43,21,0,0,0,0,0,0,false
49,0,0,7,17,0,0,0,0,0,0,false
213,0,0,17,20,0,0,0,0,0,0,false
101,1,1,4,13,49,49,49,49,49,49,false
34,0,0,1,17,0,0,0,0,0,0,false
36,0,0,1,17,0,0,0,0,0,0,false
117,1,1,6,17,1,1,1,0,0,0,false
177,0,0,8,17,0,0,0,0,0,0,false
550,1,1,38,20,2,2,2,1,1,1,false
70,0,0,2,17,0,0,0,0,0,0,false
89,0,0,1,87,0,0,0,0,0,0,false
510,2,1,87,27,1,1,0.5,7,5,3.5,false
94,1,1,3,17,1,1,1,1,1,1,false
50,0,0,1,25,0,0,0,0,0,0,false
167,1,1,12,25,22,22,22,14,14,14,false
244,0,0,12,22,0,0,0,0,0,0,false
27,0,0,1,17,0,0,0,0,0,0,false
460,1,1,40,19,3,3,3,2,2,2,false
47,1,1,3,20,5,5,5,7,7,7,false
50,0,0,1,17,0,0,0,0,0,0,false
512,0,0,71,20,0,0,0,0,0,0,false
106,0,0,6,17,0,0,0,0,0,0,false
97,1,1,7,23,0,0,0,3,3,3,false
26,0,0,1,17,0,0,0,0,0,0,false
315,2,2,2,20,3,2,1.5,1,1,0.5,false
156,0,0,11,17,0,0,0,0,0,0,false
188,2,1,11,25,2,1,1,0,0,0,false
79,0,0,1,24,0,0,0,0,0,0,false
923,5,3,103,24,27,13,5.4,29,9,5.8,false
60,0,0,1,20,0,0,0,0,0,0,false
48,0,0,1,23,0,0,0,0,0,0,false
254,0,0,39,17,0,0,0,0,0,0,false
157,1,1,16,20,1,1,1,3,3,3,false
147,0,0,7,25,0,0,0,0,0,0,false
182,0,0,11,26,0,0,0,0,0,0,true
248,0,0,16,23,0,0,0,0,0,0,false
137,0,0,8,24,0,0,0,0,0,0,false
371,0,0,27,20,0,0,0,0,0,0,false
491,1,1,66,17,1,1,1,2,2,2,false
180,0,0,3,21,0,0,0,0,0,0,false
66,0,0,3,20,0,0,0,0,0,0,false
168,0,0,13,20,0,0,0,0,0,0,false
72,0,0,2,17,0,0,0,0,0,0,false
27,0,0,1,17,0,0,0,0,0,0,false
304,1,1,54,23,2,2,2,1,1,1,false
132,0,0,8,17,0,0,0,0,0,0,false
64,0,0,4,20,0,0,0,0,0,0,false
981,1,1,64,20,1,1,1,53,53,53,false
262,1,1,23,33,6,6,6,2,2,2,false
74,0,0,2,17,0,0,0,0,0,0,false
32,0,0,1,20,0,0,0,0,0,0,false
138,1,1,12,17,4,4,4,1,1,1,false
132,0,0,6,24,0,0,0,0,0,0,false
74,0,0,1,20,0,0,0,0,0,0,false
86,1,1,3,17,1,1,1,2,2,2,false
148,0,0,15,26,0,0,0,0,0,0,false
752,0,0,126,24,0,0,0,0,0,0,false
125,0,0,8,17,0,0,0,0,0,0,false
105,0,0,2,17,0,0,0,0,0,0,false
