"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"4","hedwig-client-jms/src/main/java/org/apache/hedwig/jms/LRUCacheSet.java","115","0","0","3","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-client-jms/src/main/java/org/apache/hedwig/jms/selector/ValueComparisonFunction.java","329","0","0","44","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","35","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","390","1","1","72","24","1","1","1.0","2","2","2.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreCursor.java","84","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTableItem.java","70","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","92","0","0","5","24","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java","89","0","0","6","23","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java","63","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","51","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","147","0","0","1","24","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","179","0","0","17","26","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/HChannelHandler.java","282","1","1","20","17","3","3","3.0","2","2","2.0","false"
"4","hedwig-client-jms/src/main/java/org/apache/hedwig/jms/message/MapMessageImpl.java","295","0","0","33","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","106","0","0","2","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java","47","0","0","3","20","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Versioned.java","45","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","90","0","0","3","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","691","3","2","73","22","116","112","38.666666666666664","36","33","12.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","62","0","0","6","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java","35","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTable.java","172","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java","94","0","0","4","17","0","0","0.0","0","0","0.0","true"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java","27","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java","191","0","0","17","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java","66","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","82","0","0","3","25","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java","43","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","189","0","0","20","24","0","0","0.0","0","0","0.0","false"
"4","hedwig-client-jms/src/main/java/org/apache/hedwig/jms/selector/MyNode.java","101","0","0","8","21","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","87","0","0","3","25","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","495","2","2","40","22","17","14","8.5","28","26","14.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","153","0","0","10","25","0","0","0.0","0","0","0.0","true"
"4","hedwig-client/src/main/java/org/apache/hedwig/util/SubscriptionListener.java","44","0","0","1","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkHubServerManager.java","308","1","1","36","20","3","3","3.0","2","2","2.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/util/Either.java","50","0","0","1","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java","437","0","0","6","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java","74","0","0","6","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java","62","0","0","2","17","0","0","0.0","0","0","0.0","false"
"4","hedwig-client-jms/src/main/java/org/apache/hedwig/jms/selector/UnaryExprFunction.java","65","0","0","5","20","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java","48","0","0","1","22","0","0","0.0","0","0","0.0","false"
"4","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java","46","0","0","3","17","0","0","0.0","0","0","0.0","false"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","577","0","0","52","24","0","0","0.0","0","0","0.0","true"
"4","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","90","0","0","1","26","0","0","0.0","0","0","0.0","false"
