"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"8","lang/java/src/java/org/apache/avro/ipc/Transceiver.java","71","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/AvroRuntimeException.java","28","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/ResponderServlet.java","55","0","0","3","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificRecordBase.java","53","0","0","4","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherPartitioner.java","59","0","0","3","17","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherReducer.java","82","0","0","11","17","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/DataFileWriter.java","370","2","1","24","25","24","24","12.0","25","13","12.5","false"
"8","lang/java/src/java/org/apache/avro/ipc/RPCPlugin.java","76","1","1","1","23","4","4","4.0","2","2","2.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroKey.java","25","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/DataFileWriteTool.java","98","0","0","6","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/Server.java","35","1","1","1","18","0","0","0.0","6","6","6.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/stats/Stopwatch.java","74","0","0","6","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/Codec.java","50","0","0","1","22","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java","213","4","1","23","18","34","22","8.5","17","15","4.25","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificRequestor.java","108","1","1","3","18","2","2","2.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/io/BinaryData.java","294","1","1","59","18","0","0","0.0","107","107","107.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/HadoopReducerBase.java","63","0","0","2","17","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/DataFileReader.java","175","2","1","12","20","0","0","0.0","14","7","7.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/RPCContext.java","195","3","1","5","26","23","15","7.666666666666667","40","39","13.333333333333334","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericData.java","527","5","1","135","18","33","13","6.6","27","15","5.4","false"
"8","lang/java/src/java/org/apache/avro/tool/FromTextTool.java","99","0","0","4","21","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/io/parsing/Parser.java","191","0","0","20","21","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/LengthLimitedInputStream.java","85","0","0","6","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/ByteBufferInputStream.java","86","0","0","9","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/NullCodec.java","64","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/Tool.java","51","0","0","1","21","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/stats/StaticServlet.java","46","1","1","4","20","0","0","0.0","18","18","18.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/SpanAggregator.java","181","2","2","20","26","2","2","1.0","26","22","13.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherInputFormat.java","57","0","0","3","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericRequestor.java","73","2","1","6","18","4","2","2.0","6","5","3.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificDatumWriter.java","55","1","1","3","18","6","6","6.0","2","2","2.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/SpanStorage.java","57","1","1","1","24","0","0","0.0","11","11","11.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/SocketServer.java","110","1","1","11","19","1","1","1.0","1","1","1.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/Util.java","222","3","1","29","21","14","13","4.666666666666667","53","22","17.666666666666668","false"
"8","lang/java/src/java/org/apache/avro/io/parsing/SkipParser.java","95","0","0","5","22","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroInputFormat.java","55","0","0","3","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/DataFileReadTool.java","78","0","0","3","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/NettyServer.java","151","2","1","4","20","24","23","12.0","5","4","2.5","false"
"8","lang/java/src/java/org/apache/avro/tool/DataFileGetSchemaTool.java","54","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificData.java","194","6","1","59","18","44","27","7.333333333333333","22","20","3.6666666666666665","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/TraceClientServlet.java","253","1","1","30","17","12","12","12.0","186","186","186.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroWrapper.java","54","1","1","8","18","2","2","2.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/reflect/Nullable.java","33","0","0","1","21","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/DatagramServer.java","79","1","1","6","19","1","1","1.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherOutputFormat.java","80","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherRecordReader.java","84","0","0","4","17","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/BinaryFragmentToJsonTool.java","85","0","0","5","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SchemaTask.java","28","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/Schema.java","1311","4","1","181","49","45","39","11.25","224","187","56.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericFixed.java","24","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherMapRunner.java","93","0","0","7","17","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/AvroRemoteException.java","40","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/ToTextTool.java","88","0","0","4","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/stats/IntegerHistogram.java","55","0","0","3","22","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificResponder.java","103","1","1","9","18","0","0","0.0","1","1","1.0","false"
"8","lang/java/src/java/org/apache/avro/specific/ProtocolTask.java","79","0","0","9","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/FsInput.java","60","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/IndexedRecord.java","30","1","1","1","18","2","2","2.0","4","4","4.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroOutputFormat.java","101","3","1","5","18","13","9","4.333333333333333","20","13","6.666666666666667","false"
"8","lang/java/src/java/org/apache/avro/mapred/HadoopMapper.java","83","0","0","4","20","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/reflect/Union.java","39","0","0","1","24","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericArray.java","32","2","1","1","18","22","11","11.0","14","7","7.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/NettyTransceiver.java","264","0","0","11","20","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/io/DecoderFactory.java","232","0","0","15","26","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificCompiler.java","438","6","1","82","22","14","8","2.3333333333333335","12","7","2.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/stats/StatsServer.java","54","0","0","1","25","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/LocalTransceiver.java","52","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/TracePlugin.java","344","6","2","34","31","51","20","8.5","98","31","16.333333333333332","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificDatumReader.java","99","2","1","7","18","17","17","8.5","11","6","5.5","false"
"8","lang/java/src/java/org/apache/avro/file/SeekableInput.java","36","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/specific/SpecificRecord.java","25","0","0","1","19","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericRecord.java","27","0","0","1","19","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroReducer.java","51","1","1","3","23","38","38","38.0","21","21","21.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherOutputService.java","101","1","1","5","17","5","5","5.0","2","2","2.0","false"
"8","lang/java/src/java/org/apache/avro/file/DataFileConstants.java","38","0","0","1","20","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/util/Utf8.java","124","2","1","13","20","13","11","6.5","30","30","15.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/Responder.java","237","4","1","21","18","18","12","4.5","12","10","3.0","false"
"8","lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java","247","0","0","39","30","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/Trace.java","243","2","2","25","22","5","3","2.5","2","2","1.0","false"
"8","lang/java/src/java/org/apache/avro/specific/FixedSize.java","36","0","0","1","21","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/stats/Histogram.java","267","1","1","10","27","5","5","5.0","62","62","62.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericEnumSymbol.java","24","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroJob.java","149","3","1","6","18","67","58","22.333333333333332","53","25","17.666666666666668","false"
"8","lang/java/src/java/org/apache/avro/tool/Util.java","119","1","1","13","18","6","6","6.0","48","48","48.0","false"
"8","lang/java/src/java/org/apache/avro/io/BlockingBinaryEncoder.java","620","0","0","51","24","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/reflect/ReflectDatumWriter.java","122","2","1","10","21","6","6","3.0","9","6","4.5","false"
"8","lang/java/src/java/org/apache/avro/io/ValidatingDecoder.java","237","1","1","11","21","0","0","0.0","6","6","6.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericContainer.java","26","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/HttpServer.java","72","1","1","5","18","8","8","8.0","13","13","13.0","false"
"8","lang/java/src/java/org/apache/avro/tool/Main.java","101","3","1","7","18","3","1","1.0","4","2","1.3333333333333333","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/FileSpanStorage.java","359","0","0","31","23","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/reflect/ReflectRequestor.java","75","0","0","1","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/InMemorySpanStorage.java","78","1","1","5","24","1","1","1.0","10","10","10.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/HadoopReducer.java","60","0","0","1","19","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/HttpTransceiver.java","105","0","0","7","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroMapper.java","41","1","1","1","22","35","35","35.0","25","25","25.0","false"
"8","lang/java/src/java/org/apache/avro/file/DeflateCodec.java","145","1","1","6","27","51","51","51.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/file/CodecFactory.java","76","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/AvroUtf8InputFormat.java","117","1","1","3","21","0","0","0.0","19","19","19.0","false"
"8","lang/java/src/java/org/apache/avro/Protocol.java","449","0","0","48","37","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/generic/GenericResponder.java","56","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/io/ParsingEncoder.java","69","0","0","4","19","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/HadoopCombiner.java","62","0","0","1","20","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/mapred/tether/TetherKeySerialization.java","91","0","0","2","18","0","0","0.0","0","0","0.0","false"
"8","lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java","78","1","1","5","18","0","0","0.0","1","1","1.0","false"
"8","lang/java/src/java/org/apache/avro/ipc/trace/TraceCollection.java","306","1","1","16","42","25","25","25.0","25","25","25.0","false"
