"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"AVRO","10","IBk","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.32013081395348836"
"AVRO","10","NaiveBayes","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.5377906976744186"
"AVRO","10","RandomForest","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.502906976744186"
"AVRO","11","IBk","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.9171270718232044"
"AVRO","11","NaiveBayes","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.861878453038674"
"AVRO","11","RandomForest","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.7403314917127072"
"AVRO","12","IBk","187.0","1.0","1.0","0.0","0.9946808510638298","1.0","0.6642984014209545","0.9986631016042781"
"AVRO","12","NaiveBayes","187.0","2.0","0.0","0.0","0.9894179894179894","1.0","0.0","0.8836898395721925"
"AVRO","12","RandomForest","187.0","1.0","1.0","0.0","0.9946808510638298","1.0","0.6642984014209545","1.0"
"AVRO","13","IBk","181.0","1.0","1.0","0.0","0.9945054945054945","1.0","0.6642201834862382","1.0"
"AVRO","13","NaiveBayes","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.8977900552486188"
"AVRO","13","RandomForest","181.0","1.0","1.0","0.0","0.9945054945054945","1.0","0.6642201834862382","1.0"
"AVRO","14","IBk","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","14","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","14","RandomForest","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","IBk","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","RandomForest","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","16","IBk","200.0","0.0","0.0","1.0","1.0","0.9950248756218906","0.0","NaN"
"AVRO","16","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","16","RandomForest","200.0","0.0","0.0","1.0","1.0","0.9950248756218906","0.0","NaN"
"AVRO","17","IBk","202.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","17","NaiveBayes","202.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","17","RandomForest","201.0","0.0","0.0","1.0","1.0","0.995049504950495","0.0","NaN"
