"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"AVRO","10","IBk","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.32013081395348836"
"AVRO","10","NaiveBayes","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.5377906976744186"
"AVRO","10","RandomForest","8.0","172.0","0.0","0.0","0.044444444444444446","1.0","0.0","0.502906976744186"
"AVRO","11","IBk","177.0","1.0","1.0","4.0","0.9943820224719101","0.9779005524861878","0.2743854084060253","0.9185082872928176"
"AVRO","11","NaiveBayes","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.861878453038674"
"AVRO","11","RandomForest","177.0","1.0","1.0","4.0","0.9943820224719101","0.9779005524861878","0.2743854084060253","0.7375690607734806"
"AVRO","12","IBk","184.0","0.0","2.0","3.0","1.0","0.983957219251337","0.5648503453568668","0.9986631016042781"
"AVRO","12","NaiveBayes","187.0","2.0","0.0","0.0","0.9894179894179894","1.0","0.0","0.8836898395721925"
"AVRO","12","RandomForest","184.0","0.0","2.0","3.0","1.0","0.983957219251337","0.5648503453568668","1.0"
"AVRO","13","IBk","180.0","0.0","2.0","1.0","1.0","0.994475138121547","0.7973421926910296","1.0"
"AVRO","13","NaiveBayes","181.0","2.0","0.0","0.0","0.9890710382513661","1.0","0.0","0.8977900552486188"
"AVRO","13","RandomForest","180.0","0.0","2.0","1.0","1.0","0.994475138121547","0.7973421926910296","1.0"
"AVRO","14","IBk","199.0","0.0","0.0","2.0","1.0","0.9900497512437811","0.0","NaN"
"AVRO","14","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","14","RandomForest","199.0","0.0","0.0","2.0","1.0","0.9900497512437811","0.0","NaN"
"AVRO","15","IBk","200.0","0.0","0.0","1.0","1.0","0.9950248756218906","0.0","NaN"
"AVRO","15","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","15","RandomForest","200.0","0.0","0.0","1.0","1.0","0.9950248756218906","0.0","NaN"
"AVRO","16","IBk","198.0","0.0","0.0","3.0","1.0","0.9850746268656716","0.0","NaN"
"AVRO","16","NaiveBayes","201.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","16","RandomForest","199.0","0.0","0.0","2.0","1.0","0.9900497512437811","0.0","NaN"
"AVRO","17","IBk","200.0","0.0","0.0","2.0","1.0","0.9900990099009901","0.0","NaN"
"AVRO","17","NaiveBayes","202.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"AVRO","17","RandomForest","200.0","0.0","0.0","2.0","1.0","0.9900990099009901","0.0","NaN"
