"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"BOOKKEEPER","1","IBk","113.0","24.0","0.0","83.0","0.8248175182481752","0.576530612244898","-0.20372264266721193","0.35714285714285715"
"BOOKKEEPER","1","NaiveBayes","171.0","24.0","0.0","25.0","0.8769230769230769","0.8724489795918368","-0.12526096033402936","0.5"
"BOOKKEEPER","1","RandomForest","108.0","24.0","0.0","88.0","0.8181818181818182","0.5510204081632653","-0.2068965517241378","0.27040816326530615"
"BOOKKEEPER","2","IBk","266.0","12.0","0.0","33.0","0.9568345323741008","0.8896321070234113","-0.05998636673483281","0.6555183946488294"
"BOOKKEEPER","2","NaiveBayes","167.0","12.0","0.0","132.0","0.9329608938547486","0.5585284280936454","-0.07612456747404847","0.3411371237458194"
"BOOKKEEPER","2","RandomForest","264.0","12.0","0.0","35.0","0.9565217391304348","0.882943143812709","-0.060971183857153145","0.6387959866220736"
"BOOKKEEPER","3","IBk","308.0","10.0","7.0","32.0","0.9685534591194969","0.9058823529411765","0.19672131147540975","0.6738754325259516"
"BOOKKEEPER","3","NaiveBayes","331.0","15.0","2.0","9.0","0.9566473988439307","0.9735294117647059","0.10954063604240363","0.5530276816608997"
"BOOKKEEPER","3","RandomForest","309.0","11.0","6.0","31.0","0.965625","0.9088235294117647","0.16792452830188653","0.8222318339100346"
"BOOKKEEPER","4","IBk","292.0","0.0","0.0","21.0","1.0","0.9329073482428115","0.0","NaN"
"BOOKKEEPER","4","NaiveBayes","313.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"BOOKKEEPER","4","RandomForest","289.0","0.0","0.0","24.0","1.0","0.9233226837060703","0.0","NaN"
