"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"BOOKKEEPER","1","IBk","14.0","0.0","24.0","182.0","1.0","0.07142857142857142","0.01650618982118296","0.3520408163265306"
"BOOKKEEPER","1","NaiveBayes","152.0","24.0","0.0","44.0","0.8636363636363636","0.7755102040816326","-0.16438356164383539","0.1989795918367347"
"BOOKKEEPER","1","RandomForest","1.0","0.0","24.0","195.0","1.0","0.00510204081632653","0.0011176306230790667","0.39285714285714285"
"BOOKKEEPER","2","IBk","119.0","0.0","12.0","180.0","1.0","0.3979933110367893","0.048541709157658625","0.6521739130434783"
"BOOKKEEPER","2","NaiveBayes","22.0","0.0","12.0","277.0","1.0","0.07357859531772576","0.006091721949812521","0.3110367892976589"
"BOOKKEEPER","2","RandomForest","83.0","0.0","12.0","216.0","1.0","0.27759197324414714","0.028799444829979218","0.6889632107023411"
"BOOKKEEPER","3","IBk","215.0","8.0","9.0","125.0","0.9641255605381166","0.6323529411764706","0.03789183603169142","0.6393598615916956"
"BOOKKEEPER","3","NaiveBayes","5.0","0.0","17.0","335.0","1.0","0.014705882352941176","0.001419446415897801","0.638235294117647"
"BOOKKEEPER","3","RandomForest","191.0","3.0","14.0","149.0","0.9845360824742269","0.5617647058823529","0.07585408222350881","0.7401384083044983"
"BOOKKEEPER","4","IBk","217.0","0.0","0.0","96.0","1.0","0.6932907348242812","0.0","NaN"
"BOOKKEEPER","4","NaiveBayes","3.0","0.0","0.0","310.0","1.0","0.009584664536741214","0.0","NaN"
"BOOKKEEPER","4","RandomForest","207.0","0.0","0.0","106.0","1.0","0.6613418530351438","0.0","NaN"
