"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"BOOKKEEPER","1","IBk","109.0","17.0","7.0","87.0","0.8650793650793651","0.5561224489795918","-0.06676613204028356","0.42750850340136054"
"BOOKKEEPER","1","NaiveBayes","154.0","24.0","0.0","42.0","0.8651685393258427","0.7857142857142857","-0.16122840690978926","0.23118622448979592"
"BOOKKEEPER","1","RandomForest","86.0","16.0","8.0","110.0","0.8431372549019608","0.4387755102040816","-0.08382858930247113","0.399766156462585"
"BOOKKEEPER","2","IBk","235.0","2.0","10.0","64.0","0.9915611814345991","0.7859531772575251","0.17797356828193836","0.8283166109253066"
"BOOKKEEPER","2","NaiveBayes","278.0","12.0","0.0","21.0","0.9586206896551724","0.9297658862876255","-0.05164463572087296","0.4360367892976589"
"BOOKKEEPER","2","RandomForest","265.0","1.0","11.0","34.0","0.9962406015037594","0.8862876254180602","0.3461284315492281","0.9307413600891862"
"BOOKKEEPER","3","IBk","292.0","8.0","9.0","48.0","0.9733333333333334","0.8588235294117647","0.18333333333333315","0.7185121107266436"
"BOOKKEEPER","3","NaiveBayes","15.0","0.0","17.0","325.0","1.0","0.04411764705882353","0.004376367614879654","0.6532006920415225"
"BOOKKEEPER","3","RandomForest","305.0","6.0","11.0","35.0","0.9807073954983923","0.8970588235294118","0.30056864337936595","0.821280276816609"
"BOOKKEEPER","4","IBk","313.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"BOOKKEEPER","4","NaiveBayes","313.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
