"Release","FileName","LOC","NR","NAuth","CC","NComm","LocAdded","MaxLocAdded","AvgLocAdded","Churn","MaxChurn","AvgChurn","Buggy{No,Yes}"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","35","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","388","3","2","72","24","10","8","3.3333333333333335","15","6","5.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreCursor.java","84","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTableItem.java","70","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java","92","0","0","5","24","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java","89","1","1","6","23","2","2","2.0","1","1","1.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java","63","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","51","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","147","0","0","1","24","0","0","0.0","0","0","0.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","179","3","2","17","26","4","2","1.3333333333333333","31","18","10.333333333333334","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/HChannelHandler.java","284","1","1","20","17","0","0","0.0","23","23","23.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","106","2","1","2","17","2","1","1.0","2","1","1.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java","47","0","0","3","20","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Versioned.java","45","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","90","3","1","3","17","7","3","2.3333333333333335","14","12","4.666666666666667","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java","727","9","3","75","22","93","23","10.333333333333334","55","30","6.111111111111111","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","62","0","0","6","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java","35","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTable.java","172","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java","94","0","0","4","17","0","0","0.0","0","0","0.0","true"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java","27","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java","191","2","1","17","17","8","4","4.0","2","1","1.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java","66","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","82","1","1","3","25","2","2","2.0","2","2","2.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java","43","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","189","3","2","20","24","38","32","12.666666666666666","60","38","20.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","87","1","1","3","25","5","5","5.0","1","1","1.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","467","9","3","39","22","118","52","13.11111111111111","181","102","20.11111111111111","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","153","5","3","10","25","71","34","14.2","34","19","6.8","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/util/SubscriptionListener.java","44","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkHubServerManager.java","306","1","1","36","20","6","6","6.0","4","4","4.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/util/Either.java","50","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java","437","1","1","6","20","0","0","0.0","12","12","12.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java","74","0","0","6","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java","62","0","0","2","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java","48","0","0","1","22","0","0","0.0","0","0","0.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java","46","0","0","3","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","577","9","3","52","24","66","19","7.333333333333333","76","59","8.444444444444445","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","90","2","1","1","26","13","11","6.5","25","14","12.5","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerUnderreplicationManager.java","109","2","1","1","20","0","0","0.0","45","36","22.5","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java","92","5","1","1","17","8","2","1.6","56","27","11.2","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java","56","0","0","6","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MapUtils.java","74","0","0","7","17","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerMXBean.java","31","0","0","1","20","0","0","0.0","0","0","0.0","false"
"3","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java","28","0","0","1","17","0","0","0.0","0","0","0.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java","4088","6","2","363","2","26","13","4.333333333333333","2595","865","432.5","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/filter/ServerMessageFilter.java","47","0","0","1","21","0","0","0.0","0","0","0.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/netty/NetUtils.java","219","3","2","12","20","3","3","1.0","21","16","7.0","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/AbstractSubscribeResponseHandler.java","377","2","1","33","17","25","22","12.5","14","12","7.0","false"
"3","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","1242","19","3","143","24","172","40","9.052631578947368","556","153","29.263157894736842","false"
"3","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java","125","10","2","4","22","344","309","34.4","362","296","36.2","false"
