"Dataset","#TrainingRelease","Classifier","TP","FP","TN","FN","Precision","Recall","kappa","AUC"
"BOOKKEEPER","1","IBk","108.0","24.0","0.0","88.0","0.8181818181818182","0.5510204081632653","-0.2068965517241378","0.3520408163265306"
"BOOKKEEPER","1","NaiveBayes","178.0","24.0","0.0","18.0","0.8811881188118812","0.9081632653061225","-0.10315186246418334","0.1989795918367347"
"BOOKKEEPER","1","RandomForest","107.0","24.0","0.0","89.0","0.816793893129771","0.5459183673469388","-0.20749951428016317","0.3010204081632653"
"BOOKKEEPER","2","IBk","268.0","12.0","0.0","31.0","0.9571428571428572","0.8963210702341137","-0.05891202787235698","0.6521739130434783"
"BOOKKEEPER","2","NaiveBayes","272.0","12.0","0.0","27.0","0.9577464788732394","0.9096989966555183","-0.05644107656127455","0.3110367892976589"
"BOOKKEEPER","2","RandomForest","275.0","12.0","0.0","24.0","0.9581881533101045","0.919732441471572","-0.054237288135592886","0.5819397993311036"
"BOOKKEEPER","3","IBk","309.0","11.0","6.0","31.0","0.965625","0.9088235294117647","0.16792452830188653","0.6455882352941177"
"BOOKKEEPER","3","NaiveBayes","338.0","17.0","0.0","2.0","0.952112676056338","0.9941176470588236","-0.010126582278482186","0.638235294117647"
"BOOKKEEPER","3","RandomForest","312.0","12.0","5.0","28.0","0.9629629629629629","0.9176470588235294","0.14634146341463405","0.8438581314878892"
"BOOKKEEPER","4","IBk","299.0","0.0","0.0","14.0","1.0","0.9552715654952076","0.0","NaN"
"BOOKKEEPER","4","NaiveBayes","313.0","0.0","0.0","0.0","1.0","1.0","1.0","NaN"
"BOOKKEEPER","4","RandomForest","296.0","0.0","0.0","17.0","1.0","0.9456869009584664","0.0","NaN"
